file,peak_linear_acc_mps2,peak_rotational_acc_rads2
Rugby1288.xlsx,37.1797,4027.5227
Rugby1289.xlsx,16.0937,1408.9564
Rugby129.xlsx,9.5820,539.2984
Rugby1290.xlsx,10.1262,867.6501
Rugby1291.xlsx,12.3507,684.1154
Rugby1292.xlsx,9.7996,982.9841
Rugby1293.xlsx,14.4395,1603.8778
Rugby1294.xlsx,18.7598,740.7172
Rugby1295.xlsx,37.5919,3069.9907
Rugby1296.xlsx,9.9687,1405.3910
Rugby1297.xlsx,11.1494,1058.2268
Rugby1298.xlsx,28.9104,2579.3722
Rugby1299.xlsx,32.0710,1971.8021
Rugby13.xlsx,12.8826,817.0260
Rugby130.xlsx,14.5102,870.8173
Rugby1300.xlsx,20.7314,1985.6445
Rugby1301.xlsx,44.8732,2437.8785
Rugby1302.xlsx,53.5355,2765.6278
Rugby1303.xlsx,22.0609,2106.3292
Rugby1304.xlsx,40.6207,3326.1242
Rugby1305.xlsx,39.6986,3792.5087
Rugby1306.xlsx,17.0643,2813.2998
Rugby1307.xlsx,39.6185,2865.2145
Rugby1308.xlsx,19.5854,1942.0212
Rugby1309.xlsx,19.2556,2438.8469
Rugby131.xlsx,9.5282,1531.4629
Rugby1310.xlsx,28.6399,2179.3423
Rugby1311.xlsx,21.4627,2375.3884
Rugby1312.xlsx,14.1157,1714.5355
Rugby1313.xlsx,4.0181,257.9550
Rugby1314.xlsx,20.5755,1139.2285
Rugby1315.xlsx,9.5817,878.7297
Rugby1316.xlsx,15.2481,1974.0866
Rugby1317.xlsx,59.5077,6056.5027
Rugby1318.xlsx,29.1808,2879.6704
Rugby1319.xlsx,23.7994,2716.7922
Rugby132.xlsx,15.3010,1569.8332
Rugby1320.xlsx,12.4433,1288.2690
Rugby1321.xlsx,10.4999,1104.4637
Rugby1322.xlsx,16.5411,2389.0771
Rugby1323.xlsx,50.5152,6487.2599
Rugby1324.xlsx,54.1869,8849.0786
Rugby1325.xlsx,21.4959,1722.3852
Rugby1326.xlsx,15.6552,1288.4521
Rugby1327.xlsx,119.9935,12596.7233
Rugby1328.xlsx,12.1056,1894.7327
Rugby1329.xlsx,10.2216,726.8913
Rugby133.xlsx,9.8380,538.1332
Rugby1330.xlsx,11.0152,764.8887
Rugby1331.xlsx,15.9667,997.0491
Rugby1332.xlsx,14.3248,1511.4971
Rugby1333.xlsx,29.9771,2925.1019
Rugby1334.xlsx,55.7892,7659.3347
Rugby1335.xlsx,12.4667,1003.9335
Rugby1336.xlsx,22.8443,1767.7214
Rugby1337.xlsx,11.6474,2024.6628
Rugby1338.xlsx,17.2620,2049.0517
Rugby1339.xlsx,22.2859,2617.0448
Rugby134.xlsx,24.5567,1534.3015
Rugby1340.xlsx,14.1647,1256.9621
Rugby1341.xlsx,18.6761,1513.5563
Rugby1342.xlsx,18.4074,1155.5323
Rugby1343.xlsx,9.6416,842.0008
Rugby1344.xlsx,16.2206,1899.9358
Rugby1345.xlsx,10.9027,745.1171
Rugby1346.xlsx,22.8453,3265.6778
Rugby1347.xlsx,71.0618,7647.2449
Rugby1348.xlsx,21.6007,2135.0104
Rugby1349.xlsx,11.2756,1020.3252
Rugby135.xlsx,37.2065,1020.0360
Rugby1350.xlsx,37.3878,3098.7943
Rugby1351.xlsx,13.8537,1186.0315
Rugby1352.xlsx,16.0823,1145.9138
Rugby1353.xlsx,15.0840,1635.0786
Rugby1354.xlsx,16.5529,1165.9134
Rugby1355.xlsx,26.3356,1557.5424
Rugby1356.xlsx,34.2257,3975.8192
Rugby1357.xlsx,44.5635,4923.6901
Rugby1358.xlsx,38.8257,4092.2570
Rugby1359.xlsx,21.0852,2213.2476
Rugby136.xlsx,14.8736,1086.5317
Rugby1360.xlsx,16.6566,1393.1219
Rugby1361.xlsx,16.6348,1913.6505
Rugby1362.xlsx,14.2423,1438.9415
Rugby1363.xlsx,14.5579,1826.5700
Rugby1364.xlsx,31.0243,2415.3859
Rugby1365.xlsx,11.5860,801.1544
Rugby1366.xlsx,109.0238,12375.8322
Rugby1367.xlsx,12.5189,1107.3719
Rugby1368.xlsx,14.3120,1178.2100
Rugby1369.xlsx,31.3885,3411.9163
Rugby137.xlsx,10.1572,642.8242
Rugby1370.xlsx,19.4889,2308.3926
Rugby1371.xlsx,17.4837,2270.9458
Rugby1372.xlsx,22.7919,2435.8016
Rugby1373.xlsx,32.8422,4240.3224
Rugby1374.xlsx,6.0787,803.0380
Rugby1375.xlsx,22.9357,3026.0887
Rugby1376.xlsx,21.0126,2764.5419
Rugby1377.xlsx,18.5649,1987.9852
Rugby1378.xlsx,33.1304,4564.1135
Rugby1379.xlsx,21.3055,2430.2785
Rugby138.xlsx,36.2601,4337.6689
Rugby1380.xlsx,15.4967,1112.4002
Rugby1381.xlsx,8.2154,841.7123
Rugby1382.xlsx,12.6434,1340.3546
Rugby1383.xlsx,20.6757,3131.0889
Rugby1384.xlsx,14.7754,1285.3963
Rugby1385.xlsx,41.6956,4593.6802
Rugby1386.xlsx,36.6297,3212.6322
Rugby1387.xlsx,22.6266,2640.0496
Rugby1388.xlsx,10.1526,1368.1822
Rugby1389.xlsx,23.1624,2156.8275
Rugby139.xlsx,17.5274,606.6937
Rugby1390.xlsx,22.9972,2064.1093
Rugby1391.xlsx,32.0066,3112.8342
Rugby1392.xlsx,16.2434,1834.3567
Rugby1393.xlsx,23.5324,1872.5216
Rugby1394.xlsx,6.6543,958.1464
Rugby1395.xlsx,19.0266,1416.5490
Rugby1396.xlsx,54.2001,6900.1484
Rugby1397.xlsx,18.8734,2215.4027
Rugby1398.xlsx,34.9078,3550.7188
Rugby1399.xlsx,14.6955,1721.3554
Rugby14.xlsx,16.9386,708.1502
Rugby140.xlsx,16.6054,1921.3454
Rugby1400.xlsx,26.6046,3107.1977
Rugby1401.xlsx,10.2214,1237.3515
Rugby1402.xlsx,14.5042,1328.1864
Rugby1403.xlsx,17.9724,1723.0121
Rugby1404.xlsx,39.9548,3698.4572
Rugby1405.xlsx,15.0890,1724.7109
Rugby1406.xlsx,39.4886,3881.0603
Rugby1407.xlsx,6.6415,861.6700
Rugby1408.xlsx,30.4710,2564.7556
Rugby1409.xlsx,20.0169,1102.9651
Rugby141.xlsx,7.2918,852.8595
Rugby1410.xlsx,17.0275,1954.4361
Rugby1411.xlsx,23.0435,3193.4649
Rugby1412.xlsx,12.3188,1651.8980
Rugby1413.xlsx,42.0975,4697.2750
Rugby1414.xlsx,14.7765,1191.5071
Rugby1415.xlsx,22.3364,2356.3999
Rugby1416.xlsx,19.5989,2764.2163
Rugby1417.xlsx,50.5297,3626.9520
Rugby1418.xlsx,27.1798,2914.4093
Rugby1419.xlsx,95.1691,7892.1441
Rugby142.xlsx,10.9544,531.6364
Rugby1420.xlsx,12.4062,1171.0941
Rugby1421.xlsx,35.1156,6214.8820
Rugby1422.xlsx,18.1269,1957.2631
Rugby1423.xlsx,14.9105,1450.4851
Rugby1424.xlsx,12.2267,2227.9950
Rugby1425.xlsx,22.9419,3131.7746
Rugby1426.xlsx,25.6849,2322.4237
Rugby1427.xlsx,14.8948,1267.8524
Rugby1428.xlsx,8.2480,1032.3758
Rugby1429.xlsx,13.3237,1527.1487
Rugby143.xlsx,12.4495,800.1284
Rugby1430.xlsx,39.2845,3911.6639
Rugby1431.xlsx,130.4856,15371.9797
Rugby1432.xlsx,20.5146,1659.1038
Rugby1433.xlsx,7.9530,939.0748
Rugby1434.xlsx,21.0841,2346.7522
Rugby1435.xlsx,13.7568,2109.1430
Rugby1436.xlsx,18.8928,1085.9401
Rugby1437.xlsx,12.6141,1359.1882
Rugby1438.xlsx,16.7124,1834.4740
Rugby1439.xlsx,122.6075,6454.8822
Rugby144.xlsx,22.6386,2278.1132
Rugby1440.xlsx,13.4710,1497.8838
Rugby1441.xlsx,23.6731,3619.8199
Rugby1442.xlsx,14.7090,1526.5957
Rugby1443.xlsx,31.0117,3563.3659
Rugby1444.xlsx,12.2252,2021.8275
Rugby1445.xlsx,9.4394,1395.0901
Rugby1446.xlsx,11.4055,1011.5946
Rugby1447.xlsx,19.6205,1438.8617
Rugby1448.xlsx,46.5786,5121.8476
Rugby1449.xlsx,56.7843,7263.4958
Rugby145.xlsx,20.2525,1280.7015
Rugby1450.xlsx,37.4763,3885.4681
Rugby1451.xlsx,13.3581,2161.3748
Rugby1452.xlsx,13.1326,684.3966
Rugby1453.xlsx,15.6781,1045.4293
Rugby1454.xlsx,11.9729,1253.5621
Rugby1455.xlsx,17.8580,2489.7868
Rugby1456.xlsx,25.7767,1530.4503
Rugby1457.xlsx,24.0504,2658.8306
Rugby1458.xlsx,29.6513,2965.7367
Rugby1459.xlsx,10.3211,607.1175
Rugby146.xlsx,20.2333,1839.4358
Rugby1460.xlsx,12.5556,2248.1442
Rugby1461.xlsx,54.2835,4365.0841
Rugby1462.xlsx,42.9696,7456.6520
Rugby1463.xlsx,12.6396,1249.4267
Rugby1464.xlsx,16.0585,1582.1785
Rugby1465.xlsx,31.5230,4849.4643
Rugby1466.xlsx,11.9729,1070.9090
Rugby1467.xlsx,17.9529,1112.1605
Rugby1468.xlsx,46.3682,2830.2629
Rugby1469.xlsx,15.8637,1168.2243
Rugby147.xlsx,18.6002,891.0351
Rugby1470.xlsx,21.0989,2272.6976
Rugby1471.xlsx,17.7254,2567.4031
Rugby1472.xlsx,35.9401,2249.3074
Rugby1473.xlsx,17.9193,2019.8495
Rugby1474.xlsx,13.0313,1576.4360
Rugby1475.xlsx,20.3935,3351.3422
Rugby1476.xlsx,12.9596,1330.1850
Rugby1477.xlsx,11.1400,1149.3600
Rugby1478.xlsx,13.7500,1211.9058
Rugby1479.xlsx,34.1921,4082.4847
Rugby148.xlsx,17.3918,2003.3467
Rugby1480.xlsx,14.9503,1911.0161
Rugby1481.xlsx,14.7239,1957.1310
Rugby1482.xlsx,14.1853,2375.2259
Rugby1483.xlsx,24.1347,2597.3964
Rugby1484.xlsx,9.8838,1067.2288
Rugby1485.xlsx,25.6487,3128.0071
Rugby1486.xlsx,27.3082,3568.0968
Rugby1487.xlsx,14.7601,1502.6567
Rugby1488.xlsx,23.5306,2736.4915
Rugby1489.xlsx,12.5583,1322.8505
Rugby149.xlsx,22.9243,4203.1128
Rugby1490.xlsx,45.9031,4720.3731
Rugby1491.xlsx,12.7163,1719.3800
Rugby1492.xlsx,47.6330,5383.9772
Rugby1493.xlsx,19.5666,1402.6502
Rugby1494.xlsx,22.5623,2092.2021
Rugby1495.xlsx,16.1320,2236.1888
Rugby1496.xlsx,26.5393,4052.4058
Rugby1497.xlsx,18.7396,2310.5275
Rugby1498.xlsx,12.4879,1296.5319
Rugby1499.xlsx,12.5196,1067.4563
Rugby15.xlsx,12.4050,1531.6850
Rugby150.xlsx,29.9432,3290.8461
Rugby1500.xlsx,18.9747,1104.3459
Rugby1501.xlsx,55.6572,3024.8098
Rugby1502.xlsx,9.1625,814.9044
Rugby1503.xlsx,17.9615,2907.3692
Rugby1504.xlsx,53.6825,3977.1214
Rugby1505.xlsx,27.2004,3238.9312
Rugby1506.xlsx,11.2794,1652.5860
Rugby1507.xlsx,9.7465,1579.9817
Rugby1508.xlsx,35.4046,3870.8514
Rugby1509.xlsx,16.0345,1948.9872
Rugby151.xlsx,18.7282,2558.7747
Rugby1510.xlsx,32.4108,3869.8720
Rugby1511.xlsx,12.1309,1333.5609
Rugby1512.xlsx,30.0860,3903.0638
Rugby1513.xlsx,15.1748,1631.8016
Rugby1514.xlsx,90.1605,10471.9995
Rugby1515.xlsx,63.7246,7683.0780
Rugby1516.xlsx,9.6031,1714.2018
Rugby1517.xlsx,26.1461,1324.4635
Rugby1518.xlsx,26.5565,2699.8824
Rugby1519.xlsx,11.5770,2657.6729
Rugby152.xlsx,14.8588,673.4793
Rugby1520.xlsx,18.7664,1786.9717
Rugby1521.xlsx,11.0410,2731.9247
Rugby1522.xlsx,19.5784,2460.4537
Rugby1523.xlsx,18.6066,2328.2671
Rugby1524.xlsx,53.6297,3432.8396
Rugby1525.xlsx,14.5773,961.8285
Rugby1526.xlsx,49.2709,2987.9494
Rugby1527.xlsx,40.3102,4279.3078
Rugby1528.xlsx,19.5520,1928.2010
Rugby1529.xlsx,23.9453,1547.8496
Rugby153.xlsx,9.9450,327.0477
Rugby1530.xlsx,22.8857,2573.7780
Rugby1531.xlsx,13.8264,526.6843
Rugby1532.xlsx,17.0311,1888.8925
Rugby1533.xlsx,51.6936,4102.6294
Rugby1534.xlsx,16.8801,1464.5165
